Question,Label,Tagged
List of Equip. Needed for cooking the super cheesy potatoes?,EQUIP,List of Equip . Needed for cooking the <name>super</name> <name>cheesy</name> <name>potatoes</name> ?
All about Herb Garlic Oil,ALL,All about <name>Herb</name> <name>Garlic</name> <name>Oil</name>
Best strawberry-banana smoothie recipe?,ALL,
what are  interesting chowder recipes to try ?,NAME,what are interesting <type>chowder</type> recipes to try ?
"How many mushroom, onions and medium carrots do I need for Samosas?",QTY,"How many <ing>mushroom</ing> , <ing>onions</ing> and <ing>medium</ing> <ing>carrots</ing> do I need for <type>Samosas</type> ?"
Tell me something about No-Bake Strawberry Shortcake?,OBJ,Tell me something about <name>No-Bake</name> <name>Strawberry</name> <name>Shortcake</name> ?
All about peppermint brittle,ALL,
I need 10 different recipes of Tapas?,NAME,I need 10 different recipes of <type>Tapas</type> ?
What is the best way for cooking turkey?,DIR,What is the best way for cooking <ing>turkey</ing> ?
what is in jalapeno salt dish?,ING,what is in <name>jalapeno</name> <name>salt</name> dish ?
All information of Creamy Limoncello dish,ALL,All information of <name>Creamy</name> <name>Limoncello</name> dish
Which ingredients help make the perfect Native American Galette?,ING,Which ingredients help make the perfect <name>Native</name> <name>American</name> <name>Galette</name> ?
what is the utensil used for making salty pancakes?,EQUIP,what is the utensil used for making <name>salty</name> <name>pancakes</name> ?
"I have some mozzarella cheeses, what are good recipes to roast with it?",NAME,"I have some <ing>mozzarella</ing> <ing>cheeses</ing> , what are good recipes to <method>roast</method> with it ?"
what is in manhattan clam chowder?,ING,what is in <name>manhattan</name> <name>clam</name> <name>chowder</name> ?
"what can i do with powder, butter and salt?",NAME,"what can i do with <ing>powder</ing> , <ing>butter</ing> and <ing>salt</ing> ?"
Best mediterranean lentil salad recipe?,ALL,Best <name>mediterranean</name> <name>lentil</name> <name>salad</name> recipe ?
Utensils for frying Walnut Raisin Scones?,EQUIP,Utensils for <method>frying</method> <name>Walnut</name> <name>Raisin</name> <name>Scones</name> ?
Which kitchen devices do you need to make frozen strawberry yogurt?,EQUIP,Which kitchen devices do you need to make <name>frozen</name> <name>strawberry</name> <name>yogurt</name> ?
What are some good dishes that I can make with broccoli??,NAME,What are some good dishes that I can make with <ing>broccoli</ing> ? ?
Which ingredients help make the perfect 3-Ingredient Cheesecake?,ING,Which ingredients help make the perfect <name>3-Ingredient</name> <name>Cheesecake</name> ?
how much cheese should be used in baking cranberry persimmon bread??,QTY,how much <ing>cheese</ing> should be used in <method>baking</method> <name>cranberry</name> <name>persimmon</name> <name>bread</name> ? ?
what is Bacon-Wrapped Bourbon-Marinated Salmon?,OBJ,
How much nectar will I need to make Banana Coconut Cupcakes?,QTY,How much <ing>nectar</ing> will I need to make <name>Banana</name> <name>Coconut</name> <name>Cupcakes</name> ?
"How do I make coffee jelly from peas, peanuts?",DIR,"How do I make <name>coffee</name> <name>jelly</name> from <ing>peas</ing> , <ing>peanuts</ing> ?"
Which ingredients help make the perfect jumpin' chickpeas?,ING,Which ingredients help make the perfect <name>jumpin</name> <name>'</name> <name>chickpeas</name> ?
"I have some green onions, what are good recipes to grill with it?",NAME,"I have some <ing>green</ing> <ing>onions</ing> , what are good recipes to <method>grill</method> with it ?"
Quantity of butter to cook hoisin-glazed salmon dish?,QTY,Quantity of <ing>butter</ing> to cook <name>hoisin-glazed</name> <name>salmon</name> dish ?
Help to boil Sweet Beet Smoothie - What should I do?,DIR,Help to <method>boil</method> <name>Sweet</name> <name>Beet</name> <name>Smoothie</name> - What should I do ?
Perfect Pear Muffins recipe?,ALL,<name>Perfect</name> <name>Pear</name> <name>Muffins</name> recipe ?
how is the Yummy Grilled Asparagus stewed?,DIR,how is the <name>Yummy</name> <name>Grilled</name> <name>Asparagus</name> <method>stewed</method> ?
What are some quick Sheet Cake recipes?,NAME,What are some <type>quick</type> <type>Sheet</type> <type>Cake</type> recipes ?
what is in crab ceviche?,ING,
How long for steaming Chocolate Clementine Cake?,TIME,How long for <method>steaming</method> <name>Chocolate</name> <name>Clementine</name> <name>Cake</name> ?
What is the nutritional value of Filipino Pork Adobo?,NUT,What is the nutritional value of <name>Filipino</name> <name>Pork</name> <name>Adobo</name> ?
What can you tell me about overnight bubble bread?,OBJ,What can you tell me about <name>overnight</name> <name>bubble</name> <name>bread</name> ?
What are the required utensils for stewing korean beef ribs?,EQUIP,What are the required utensils for <method>stewing</method> <name>korean</name> <name>beef</name> <name>ribs</name> ?
"What’s the best way to make cucumbers, watermelons?",DIR,"What ’ s the best way to make <ing>cucumbers</ing> , <ing>watermelons</ing> ?"
All about Asparagus Amandine,ALL,
I want ingredient advice for dish Biscochitos I?,ING,I want ingredient advice for dish <name>Biscochitos</name> <name>I</name> ?
What are the required utensils for roasting kumquat-orange marmalade?,EQUIP,What are the required utensils for <method>roasting</method> <name>kumquat-orange</name> <name>marmalade</name> ?
Best Ham Salad Pitas recipe?,ALL,Best <name>Ham</name> <name>Salad</name> <name>Pitas</name> recipe ?
Never-Fail Fudge - the best way to fry it?,DIR,<name>Never-Fail</name> <name>Fudge</name> - the best way to <method>fry</method> it ?
Best way to prepare shallots and watermelon?,DIR,Best way to prepare <ing>shallots</ing> and <ing>watermelon</ing> ?
What is Pineapple Delight Smoothie?,OBJ,What is <name>Pineapple</name> <name>Delight</name> <name>Smoothie</name> ?
"Quantity of lemon, leeks and eggs to cook colonial port-beef pie?",QTY,"Quantity of <ing>lemon</ing> , <ing>leeks</ing> and <ing>eggs</ing> to cook <name>colonial</name> <name>port-beef</name> <name>pie</name> ?"
How long does it take to steam dish Buttermilk Waffles?,TIME,How long does it take to <method>steam</method> dish <name>Buttermilk</name> <name>Waffles</name> ?
"Quantity of mushrooms, cloves to grill Killer Chili?",QTY,"Quantity of <ing>mushrooms</ing> , <ing>cloves</ing> to <method>grill</method> <name>Killer</name> <name>Chili</name> ?"
Best Mock Strawberry Jam recipe?,ALL,
What are ingredients for the persian yogurt salad?,ING,What are ingredients for the <name>persian</name> <name>yogurt</name> <name>salad</name> ?
Do you know good Banana Pancake recipes to boil?,NAME,Do you know good <type>Banana</type> <type>Pancake</type> recipes to <method>boil</method> ?
Guide me to stew Cajun Mashed Potatoes.,DIR,Guide me to <method>stew</method> <name>Cajun</name> <name>Mashed</name> <name>Potatoes</name> .
What should I know about giggle floats?,OBJ,What should I know about <name>giggle</name> <name>floats</name> ?
What are the main ingredients of the Honey Chicken?,ING,What are the main ingredients of the <name>Honey</name> <name>Chicken</name> ?
Red Raspberry Vinaigrette recipe?,ALL,
What can I mix with water for boiling the pasta salad?,ING,What can I mix with <ing>water</ing> for <method>boiling</method> the <name>pasta</name> <name>salad</name> ?
How much time to grill honey-lemon ginger tea?,TIME,How much time to <method>grill</method> <name>honey-lemon</name> <name>ginger</name> <name>tea</name> ?
How long do I bake Reuben Pickle Sliders?,TIME,How long do I <method>bake</method> <name>Reuben</name> <name>Pickle</name> <name>Sliders</name> ?
Description about Spicy Smoked Meatloaf,OBJ,Description about <name>Spicy</name> <name>Smoked</name> <name>Meatloaf</name>
Gazpacho I?,ALL,
All about Meze Fava Beans,ALL,All about <name>Meze</name> <name>Fava</name> <name>Beans</name>
What is the best way for stewing cucumber?,DIR,What is the best way for <method>stewing</method> <ing>cucumber</ing> ?
what is in no-oat apple crisp?,ING,
Fried Apples?,ALL,
All about timbales,ALL,
Can you give me a recipe for Margarita Fizz dish with hot dog?,DIR,Can you give me a recipe for <name>Margarita</name> <name>Fizz</name> dish with <ing>hot</ing> <ing>dog</ing> ?
What are the basic ingredients in steaming tomato basil towers?,ING,What are the basic ingredients in <method>steaming</method> <name>tomato</name> <name>basil</name> <name>towers</name> ?
Do you know how to steam hummus casserole dish?,DIR,Do you know how to <method>steam</method> <name>hummus</name> <name>casserole</name> dish ?
Instruct me for stewing Salsa I.,DIR,Instruct me for <method>stewing</method> <name>Salsa</name> <name>I</name> .
Do you know how long it takes shrimp toast ii to roast?,TIME,Do you know how long it takes <name>shrimp</name> <name>toast</name> <name>ii</name> to <method>roast</method> ?
Do you know good Bacon recipes to make?,NAME,Do you know good <type>Bacon</type> recipes to make ?
Do you know the recipe for asparagus with brie?,DIR,Do you know the recipe for <name>asparagus</name> with <ing>brie</ing> ?
Help to grill tortilla soup ii - What should I do?,DIR,Help to <method>grill</method> <name>tortilla</name> <name>soup</name> <name>ii</name> - What should I do ?
What are essential Scorpion Bowl dish ingredients?,ING,What are essential <name>Scorpion</name> <name>Bowl</name> dish ingredients ?
how much white rice should be used to steam Yeast Pancakes?,QTY,how much <ing>white</ing> <ing>rice</ing> should be used to <method>steam</method> <name>Yeast</name> <name>Pancakes</name> ?
Utensils to stew Deluxe Pizza Panini?,EQUIP,Utensils to <method>stew</method> <name>Deluxe</name> <name>Pizza</name> <name>Panini</name> ?
how much sugar for simmering french stuffing?,QTY,how much <ing>sugar</ing> for <method>simmering</method> <name>french</name> <name>stuffing</name> ?
Description about asparagus casserole i,OBJ,Description about <name>asparagus</name> <name>casserole</name> <name>i</name>
All information of greek vasilopita dish,ALL,All information of <name>greek</name> <name>vasilopita</name> dish
Description about Samosas,OBJ,Description about <name>Samosas</name>
what kinds of chocolate pudding dishes can I bake with cucumber?,NAME,what kinds of <type>chocolate</type> <type>pudding</type> dishes can I <method>bake</method> with <ing>cucumber</ing> ?
what is Mushroom Stuffed Zucchini dish?,OBJ,
Time for frying cold avocado soup,TIME,Time for <method>frying</method> <name>cold</name> <name>avocado</name> <name>soup</name>
How many shallots do I need for Funnel Cakes II?,QTY,How many <ing>shallots</ing> do I need for <name>Funnel</name> <name>Cakes</name> <name>II</name> ?
heirloom tomato bruschetta?,ALL,<name>heirloom</name> <name>tomato</name> <name>bruschetta</name> ?
What are essential buttermilk pie ii ingredients?,ING,What are essential <name>buttermilk</name> <name>pie</name> <name>ii</name> ingredients ?
What nutritional value do sour cream dressing have?,NUT,What nutritional value do <name>sour</name> <name>cream</name> <name>dressing</name> have ?
All information of mocha cake v dish,ALL,All information of <name>mocha</name> <name>cake</name> <name>v</name> dish
Do you know the recipe for berry cobbler dish?,DIR,Do you know the recipe for <name>berry</name> <name>cobbler</name> dish ?
How many packs of olive oil need to stew Apple Crostata dish?,QTY,How many packs of <ing>olive</ing> <ing>oil</ing> need to <method>stew</method> <name>Apple</name> <name>Crostata</name> dish ?
I need 10 different recipes of taco?,NAME,I need 10 different recipes of <type>taco</type> ?
How many eggs to roast Home-Style Chicken Piccata?,QTY,How many <ing>eggs</ing> to <method>roast</method> <name>Home-Style</name> <name>Chicken</name> <name>Piccata</name> ?
Please give me nutrition value of Argentinean Potato Salad?,NUT,Please give me nutrition value of <name>Argentinean</name> <name>Potato</name> <name>Salad</name> ?
what is char-grilled oysters?,OBJ,
What are the basic ingredients in frying Albino Pasta?,ING,What are the basic ingredients in <method>frying</method> <name>Albino</name> <name>Pasta</name> ?
What should I cook for breakfast?,NAME,What should I cook for <type>breakfast</type> ?
"Any good recipes to prepare one lemon, two leeks and three eggs?",NAME,"Any good recipes to prepare one <ing>lemon</ing> , two <ing>leeks</ing> and three <ing>eggs</ing> ?"
what is in Traditional Welsh Rarebit?,ING,
How many medium carrots to bake Chicken Spring Rolls?,QTY,How many <ing>medium</ing> <ing>carrots</ing> to <method>bake</method> <name>Chicken</name> <name>Spring</name> <name>Rolls</name> ?
What are the nutrients present in dish Shrimp Teriyaki?,NUT,What are the nutrients present in dish <name>Shrimp</name> <name>Teriyaki</name> ?
All about Lamb Meatballs,ALL,All about <name>Lamb</name> <name>Meatballs</name>
Help me to stew the sweet deviled eggs,DIR,Help me to <method>stew</method> the <name>sweet</name> <name>deviled</name> <name>eggs</name>
What are the nutrients present in olive oil bread dish?,NUT,What are the nutrients present in <name>olive</name> <name>oil</name> <name>bread</name> dish ?
"I have head cabbages, butters, how should I bake it?",DIR,"I have <ing>head</ing> <ing>cabbages</ing> , <ing>butters</ing> , how should I <method>bake</method> it ?"
How do I cook Vegan Lemon-Coconut Cupcakes from yam?,DIR,How do I cook <name>Vegan</name> <name>Lemon-Coconut</name> <name>Cupcakes</name> from <ing>yam</ing> ?
Fruit Dip recipes using cloves and shrimp?,NAME,<type>Fruit</type> <type>Dip</type> recipes using <ing>cloves</ing> and <ing>shrimp</ing> ?
Fruit Dip recipes using clove?,NAME,<type>Fruit</type> <type>Dip</type> recipes using <ing>clove</ing> ?
